Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2016,JUL THRU SEP,NA,WASHINGTON,53,NA,ADDED & REPLACED,7500,NA
2016,JUL THRU SEP,NA,WEST VIRGINIA,54,NA,ADDED & REPLACED,130,NA
2016,JUL THRU SEP,NA,WISCONSIN,55,NA,ADDED & REPLACED,880,NA
2016,JUL THRU SEP,NA,WYOMING,56,NA,ADDED & REPLACED,1800,NA
2016,OCT THRU DEC,NA,ALABAMA,1,NA,ADDED & REPLACED,50,NA
2016,OCT THRU DEC,NA,ARIZONA,4,NA,ADDED & REPLACED,4600,NA
2016,OCT THRU DEC,NA,ARKANSAS,5,NA,ADDED & REPLACED,20,NA
2016,OCT THRU DEC,NA,CALIFORNIA,6,NA,ADDED & REPLACED,40000,NA
2016,OCT THRU DEC,NA,COLORADO,8,NA,ADDED & REPLACED,2500,NA
2016,OCT THRU DEC,NA,CONNECTICUT,9,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,FLORIDA,12,NA,ADDED & REPLACED,31000,NA
2016,OCT THRU DEC,NA,GEORGIA,13,NA,ADDED & REPLACED,12000,NA
2016,OCT THRU DEC,NA,HAWAII,15,NA,ADDED & REPLACED,60,NA
2016,OCT THRU DEC,NA,IDAHO,16,NA,ADDED & REPLACED,5000,NA
2016,OCT THRU DEC,NA,ILLINOIS,17,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,INDIANA,18,NA,ADDED & REPLACED,20,NA
2016,OCT THRU DEC,NA,IOWA,19,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,KANSAS,20,NA,ADDED & REPLACED,200,NA
2016,OCT THRU DEC,NA,KENTUCKY,21,NA,ADDED & REPLACED,60,NA
2016,OCT THRU DEC,NA,LOUISIANA,22,NA,ADDED & REPLACED,250,NA
2016,OCT THRU DEC,NA,MAINE,23,NA,ADDED & REPLACED,0,NA
2016,OCT THRU DEC,NA,MARYLAND,24,NA,ADDED & REPLACED,20,NA
2016,OCT THRU DEC,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,0,NA
