Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2017,APR THRU JUN,NA,MAINE,23,NA,ADDED & REPLACED,790,NA
2017,APR THRU JUN,NA,MARYLAND,24,NA,ADDED & REPLACED,3200,NA
2017,APR THRU JUN,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,1900,NA
2017,APR THRU JUN,NA,MICHIGAN,26,NA,ADDED & REPLACED,22000,NA
2017,APR THRU JUN,NA,MINNESOTA,27,NA,ADDED & REPLACED,18500,NA
2017,APR THRU JUN,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,5500,NA
2017,APR THRU JUN,NA,MISSOURI,29,NA,ADDED & REPLACED,1700,NA
2017,APR THRU JUN,NA,MONTANA,30,NA,ADDED & REPLACED,15000,NA
2017,APR THRU JUN,NA,NEBRASKA,31,NA,ADDED & REPLACED,6000,NA
2017,APR THRU JUN,NA,NEW JERSEY,34,NA,ADDED & REPLACED,1600,NA
2017,APR THRU JUN,NA,NEW MEXICO,35,NA,ADDED & REPLACED,2300,NA
2017,APR THRU JUN,NA,NEW YORK,36,NA,ADDED & REPLACED,16000,NA
2017,APR THRU JUN,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,3900,NA
2017,APR THRU JUN,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,19500,NA
2017,APR THRU JUN,NA,OHIO,39,NA,ADDED & REPLACED,8000,NA
2017,APR THRU JUN,NA,OKLAHOMA,40,NA,ADDED & REPLACED,6500,NA
2017,APR THRU JUN,NA,OREGON,41,NA,ADDED & REPLACED,18000,NA
2017,APR THRU JUN,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,7000,NA
2017,APR THRU JUN,NA,SOUTH CAROLINA,45,NA,ADDED & REPLACED,1900,NA
2017,APR THRU JUN,NA,SOUTH DAKOTA,46,NA,ADDED & REPLACED,10000,NA
2017,APR THRU JUN,NA,TENNESSEE,47,NA,ADDED & REPLACED,2600,NA
2017,APR THRU JUN,NA,TEXAS,48,NA,ADDED & REPLACED,43000,NA
2017,APR THRU JUN,NA,UTAH,49,NA,ADDED & REPLACED,14500,NA
2017,APR THRU JUN,NA,VERMONT,50,NA,ADDED & REPLACED,390,NA
2017,APR THRU JUN,NA,VIRGINIA,51,NA,ADDED & REPLACED,3100,NA
2017,APR THRU JUN,NA,WASHINGTON,53,NA,ADDED & REPLACED,36000,NA
2017,APR THRU JUN,NA,WEST VIRGINIA,54,NA,ADDED & REPLACED,3400,NA
2017,APR THRU JUN,NA,WISCONSIN,55,NA,ADDED & REPLACED,13000,NA
2017,APR THRU JUN,NA,WYOMING,56,NA,ADDED & REPLACED,4800,NA
2016,JAN THRU MAR,NA,ALABAMA,1,NA,ADDED & REPLACED,2100,NA
2016,JAN THRU MAR,NA,ARIZONA,4,NA,ADDED & REPLACED,3500,NA
2016,JAN THRU MAR,NA,ARKANSAS,5,NA,ADDED & REPLACED,5000,NA
2016,JAN THRU MAR,NA,CALIFORNIA,6,NA,ADDED & REPLACED,210000,NA
2016,JAN THRU MAR,NA,COLORADO,8,NA,ADDED & REPLACED,1700,NA
2016,JAN THRU MAR,NA,CONNECTICUT,9,NA,ADDED & REPLACED,70,NA
2016,JAN THRU MAR,NA,FLORIDA,12,NA,ADDED & REPLACED,49000,NA
2016,JAN THRU MAR,NA,GEORGIA,13,NA,ADDED & REPLACED,36000,NA
2016,JAN THRU MAR,NA,HAWAII,15,NA,ADDED & REPLACED,570,NA
2016,JAN THRU MAR,NA,IDAHO,16,NA,ADDED & REPLACED,5500,NA
2016,JAN THRU MAR,NA,ILLINOIS,17,NA,ADDED & REPLACED,860,NA
2016,JAN THRU MAR,NA,INDIANA,18,NA,ADDED & REPLACED,30,NA
2016,JAN THRU MAR,NA,IOWA,19,NA,ADDED & REPLACED,90,NA
2016,JAN THRU MAR,NA,KANSAS,20,NA,ADDED & REPLACED,1400,NA
2016,JAN THRU MAR,NA,KENTUCKY,21,NA,ADDED & REPLACED,390,NA
2016,JAN THRU MAR,NA,LOUISIANA,22,NA,ADDED & REPLACED,9500,NA
2016,JAN THRU MAR,NA,MAINE,23,NA,ADDED & REPLACED,0,NA
2016,JAN THRU MAR,NA,MARYLAND,24,NA,ADDED & REPLACED,1200,NA
2016,JAN THRU MAR,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,1200,NA
2016,JAN THRU MAR,NA,MICHIGAN,26,NA,ADDED & REPLACED,2300,NA
2016,JAN THRU MAR,NA,MINNESOTA,27,NA,ADDED & REPLACED,6000,NA
2016,JAN THRU MAR,NA,MISSISSIPPI,28,NA,ADDED & REPLACED,48000,NA
2016,JAN THRU MAR,NA,MISSOURI,29,NA,ADDED & REPLACED,5500,NA
2016,JAN THRU MAR,NA,MONTANA,30,NA,ADDED & REPLACED,24000,NA
2016,JAN THRU MAR,NA,NEBRASKA,31,NA,ADDED & REPLACED,510,NA
2016,JAN THRU MAR,NA,NEW JERSEY,34,NA,ADDED & REPLACED,80,NA
2016,JAN THRU MAR,NA,NEW MEXICO,35,NA,ADDED & REPLACED,1400,NA
2016,JAN THRU MAR,NA,NEW YORK,36,NA,ADDED & REPLACED,970,NA
2016,JAN THRU MAR,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,1100,NA
2016,JAN THRU MAR,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,4600,NA
2016,JAN THRU MAR,NA,OHIO,39,NA,ADDED & REPLACED,760,NA
2016,JAN THRU MAR,NA,OKLAHOMA,40,NA,ADDED & REPLACED,4800,NA
2016,JAN THRU MAR,NA,OREGON,41,NA,ADDED & REPLACED,3800,NA
2016,JAN THRU MAR,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,480,NA
2016,JAN THRU MAR,NA,SOUTH CAROLINA,45,NA,ADDED & REPLACED,3200,NA
2016,JAN THRU MAR,NA,SOUTH DAKOTA,46,NA,ADDED & REPLACED,1600,NA
2016,JAN THRU MAR,NA,TENNESSEE,47,NA,ADDED & REPLACED,180,NA
2016,JAN THRU MAR,NA,TEXAS,48,NA,ADDED & REPLACED,126000,NA
2016,JAN THRU MAR,NA,UTAH,49,NA,ADDED & REPLACED,1400,NA
2016,JAN THRU MAR,NA,VERMONT,50,NA,ADDED & REPLACED,0,NA
2016,JAN THRU MAR,NA,VIRGINIA,51,NA,ADDED & REPLACED,560,NA
2016,JAN THRU MAR,NA,WASHINGTON,53,NA,ADDED & REPLACED,5500,NA
2016,JAN THRU MAR,NA,WEST VIRGINIA,54,NA,ADDED & REPLACED,0,NA
2016,JAN THRU MAR,NA,WISCONSIN,55,NA,ADDED & REPLACED,530,NA
2016,JAN THRU MAR,NA,WYOMING,56,NA,ADDED & REPLACED,440,NA
2016,APR THRU JUN,NA,ALABAMA,1,NA,ADDED & REPLACED,1200,NA
2016,APR THRU JUN,NA,ARIZONA,4,NA,ADDED & REPLACED,14000,NA
2016,APR THRU JUN,NA,ARKANSAS,5,NA,ADDED & REPLACED,12000,NA
2016,APR THRU JUN,NA,CALIFORNIA,6,NA,ADDED & REPLACED,240000,NA
2016,APR THRU JUN,NA,COLORADO,8,NA,ADDED & REPLACED,9000,NA
2016,APR THRU JUN,NA,CONNECTICUT,9,NA,ADDED & REPLACED,390,NA
2016,APR THRU JUN,NA,FLORIDA,12,NA,ADDED & REPLACED,43000,NA
2016,APR THRU JUN,NA,GEORGIA,13,NA,ADDED & REPLACED,17500,NA
2016,APR THRU JUN,NA,HAWAII,15,NA,ADDED & REPLACED,870,NA
2016,APR THRU JUN,NA,IDAHO,16,NA,ADDED & REPLACED,19000,NA
2016,APR THRU JUN,NA,ILLINOIS,17,NA,ADDED & REPLACED,2200,NA
2016,APR THRU JUN,NA,INDIANA,18,NA,ADDED & REPLACED,2700,NA
2016,APR THRU JUN,NA,IOWA,19,NA,ADDED & REPLACED,26000,NA
2016,APR THRU JUN,NA,KANSAS,20,NA,ADDED & REPLACED,3000,NA
2016,APR THRU JUN,NA,KENTUCKY,21,NA,ADDED & REPLACED,2100,NA
2016,APR THRU JUN,NA,LOUISIANA,22,NA,ADDED & REPLACED,10000,NA
2016,APR THRU JUN,NA,MAINE,23,NA,ADDED & REPLACED,510,NA
2016,APR THRU JUN,NA,MARYLAND,24,NA,ADDED & REPLACED,2800,NA
2016,APR THRU JUN,NA,MASSACHUSETTS,25,NA,ADDED & REPLACED,1100,NA
